row_id;id_rota;id_date;id_shift;id_staff
1;ro0001;1/1/2022;sh0011;2
2;ro0001;1/1/2022;sh0011;4
3;ro0001;1/1/2022;sh0011;6
4;ro0001;1/1/2022;sh0011;8
5;ro0001;1/1/2022;sh0011;10
6;ro0001;1/1/2022;sh0011;12
7;ro0001;1/1/2022;sh0011;14
8;ro0001;1/1/2022;sh0011;16
9;ro0001;1/1/2022;sh0011;18
10;ro0001;1/1/2022;sh0011;19
11;ro0002;1/1/2022;sh0012;1
12;ro0002;1/1/2022;sh0012;3
13;ro0002;1/1/2022;sh0012;5
14;ro0002;1/1/2022;sh0012;7
15;ro0002;1/1/2022;sh0012;9
16;ro0002;1/1/2022;sh0012;11
17;ro0002;1/1/2022;sh0012;13
18;ro0002;1/1/2022;sh0012;15
19;ro0002;1/1/2022;sh0012;17
20;ro0002;1/1/2022;sh0012;19
21;ro0003;2/1/2022;sh0013;2
22;ro0003;2/1/2022;sh0013;4
23;ro0003;2/1/2022;sh0013;6
24;ro0003;2/1/2022;sh0013;8
25;ro0003;2/1/2022;sh0013;10
26;ro0003;2/1/2022;sh0013;12
27;ro0003;2/1/2022;sh0013;14
28;ro0003;2/1/2022;sh0013;16
29;ro0003;2/1/2022;sh0013;18
30;ro0003;2/1/2022;sh0013;19
31;ro0004;2/1/2022;sh0014;1
32;ro0004;2/1/2022;sh0014;3
33;ro0004;2/1/2022;sh0014;5
34;ro0004;2/1/2022;sh0014;7
35;ro0004;2/1/2022;sh0014;9
36;ro0004;2/1/2022;sh0014;11
37;ro0004;2/1/2022;sh0014;13
38;ro0004;2/1/2022;sh0014;15
39;ro0004;2/1/2022;sh0014;17
40;ro0004;2/1/2022;sh0014;19
41;ro0005;3/1/2022;sh0001;2
42;ro0005;3/1/2022;sh0001;4
43;ro0005;3/1/2022;sh0001;6
44;ro0005;3/1/2022;sh0001;8
45;ro0005;3/1/2022;sh0001;10
46;ro0005;3/1/2022;sh0001;12
47;ro0005;3/1/2022;sh0001;14
48;ro0005;3/1/2022;sh0001;16
49;ro0005;3/1/2022;sh0001;18
50;ro0005;3/1/2022;sh0001;19
51;ro0006;3/1/2022;sh0002;1
52;ro0006;3/1/2022;sh0002;3
53;ro0006;3/1/2022;sh0002;5
54;ro0006;3/1/2022;sh0002;7
55;ro0006;3/1/2022;sh0002;9
56;ro0006;3/1/2022;sh0002;11
57;ro0006;3/1/2022;sh0002;13
58;ro0006;3/1/2022;sh0002;15
59;ro0006;3/1/2022;sh0002;17
60;ro0006;3/1/2022;sh0002;19
61;ro0007;4/1/2022;sh0003;2
62;ro0007;4/1/2022;sh0003;4
63;ro0007;4/1/2022;sh0003;6
64;ro0007;4/1/2022;sh0003;8
65;ro0007;4/1/2022;sh0003;10
66;ro0007;4/1/2022;sh0003;12
67;ro0007;4/1/2022;sh0003;14
68;ro0007;4/1/2022;sh0003;16
69;ro0007;4/1/2022;sh0003;18
70;ro0007;4/1/2022;sh0003;19
71;ro0008;4/1/2022;sh0004;1
72;ro0008;4/1/2022;sh0004;3
73;ro0008;4/1/2022;sh0004;5
74;ro0008;4/1/2022;sh0004;7
75;ro0008;4/1/2022;sh0004;9
76;ro0008;4/1/2022;sh0004;11
77;ro0008;4/1/2022;sh0004;13
78;ro0008;4/1/2022;sh0004;15
79;ro0008;4/1/2022;sh0004;17
80;ro0008;4/1/2022;sh0004;19
81;ro0009;5/1/2022;sh0005;2
82;ro0009;5/1/2022;sh0005;4
83;ro0009;5/1/2022;sh0005;6
84;ro0009;5/1/2022;sh0005;8
85;ro0009;5/1/2022;sh0005;10
86;ro0009;5/1/2022;sh0005;12
87;ro0009;5/1/2022;sh0005;14
88;ro0009;5/1/2022;sh0005;16
89;ro0009;5/1/2022;sh0005;18
90;ro0009;5/1/2022;sh0005;19
91;ro0010;5/1/2022;sh0006;1
92;ro0010;5/1/2022;sh0006;3
93;ro0010;5/1/2022;sh0006;5
94;ro0010;5/1/2022;sh0006;7
95;ro0010;5/1/2022;sh0006;9
96;ro0010;5/1/2022;sh0006;11
97;ro0010;5/1/2022;sh0006;13
98;ro0010;5/1/2022;sh0006;15
99;ro0010;5/1/2022;sh0006;17
100;ro0010;5/1/2022;sh0006;19
101;ro0011;6/1/2022;sh0007;2
102;ro0011;6/1/2022;sh0007;4
103;ro0011;6/1/2022;sh0007;6
104;ro0011;6/1/2022;sh0007;8
105;ro0011;6/1/2022;sh0007;10
106;ro0011;6/1/2022;sh0007;12
107;ro0011;6/1/2022;sh0007;14
108;ro0011;6/1/2022;sh0007;16
109;ro0011;6/1/2022;sh0007;18
110;ro0011;6/1/2022;sh0007;19
111;ro0012;6/1/2022;sh0008;1
112;ro0012;6/1/2022;sh0008;3
113;ro0012;6/1/2022;sh0008;5
114;ro0012;6/1/2022;sh0008;7
115;ro0012;6/1/2022;sh0008;9
116;ro0012;6/1/2022;sh0008;11
117;ro0012;6/1/2022;sh0008;13
118;ro0012;6/1/2022;sh0008;15
119;ro0012;6/1/2022;sh0008;17
120;ro0012;6/1/2022;sh0008;19
121;ro0013;7/1/2022;sh0009;2
122;ro0013;7/1/2022;sh0009;4
123;ro0013;7/1/2022;sh0009;6
124;ro0013;7/1/2022;sh0009;8
125;ro0013;7/1/2022;sh0009;10
126;ro0013;7/1/2022;sh0009;12
127;ro0013;7/1/2022;sh0009;14
128;ro0013;7/1/2022;sh0009;16
129;ro0013;7/1/2022;sh0009;18
130;ro0013;7/1/2022;sh0009;19
131;ro0014;7/1/2022;sh0010;1
132;ro0014;7/1/2022;sh0010;3
133;ro0014;7/1/2022;sh0010;5
134;ro0014;7/1/2022;sh0010;7
135;ro0014;7/1/2022;sh0010;9
136;ro0014;7/1/2022;sh0010;11
137;ro0014;7/1/2022;sh0010;13
138;ro0014;7/1/2022;sh0010;15
139;ro0014;7/1/2022;sh0010;17
140;ro0014;7/1/2022;sh0010;19
141;ro0015;8/1/2022;sh0011;2
142;ro0015;8/1/2022;sh0011;4
143;ro0015;8/1/2022;sh0011;6
144;ro0015;8/1/2022;sh0011;8
